"Team" "diff_1st.Downs" "diff_3rd.down.efficiency" "diff_4th.down.efficiency" "diff_Total.Yards" "diff_Passing" "diff_Comp.Att" "diff_Yards.per.pass" "diff_Interceptions.thrown" "diff_Rushing" "diff_Rushing.Attempts" "diff_Yards.per.rush" "diff_Penalties" "diff_Turnovers" "diff_Fumbles.lost" "diff_Possession" "diff_Score" "Result_num" "CONF_PWR" "OPP_CONF_PWR" "CONF_Matchup" "Conference" "Team_P5_G5"
"75" "OKST" 2.333 0.099 -0.077 -25.333 14.25 -0.005 0.083 0.333 -39.583 0.25 -0.983 -22.667 0.333 0 -3.498 2.417 0.583 20 16.667 3.333 "BIG12" "P5"
"76" "ORE" 4.833 -0.029 0.194 121.667 30.833 0.082 1.867 -0.667 90.833 10.167 1.217 17.417 -0.833 -0.167 3.42 12.25 0.75 19 17.583 1.417 "PAC12" "P5"
"77" "ORST" 3.583 0.045 0.444 57.333 -27.833 0.032 1.683 0.083 85.167 11.917 1.092 1.5 0.083 0 4.372 11 0.75 19 14.917 4.083 "PAC12" "P5"
"78" "OSU" 9.333 0.17 0.208 188.75 110.167 0.1 2.758 -0.333 78.583 1.083 2.1 4.583 -0.583 -0.25 1.197 25.25 0.917 21 17.75 3.25 "BIG10" "P5"
"79" "OU" -2 -0.038 0.015 21.667 -5.917 0.001 0.792 -0.667 27.583 0.917 0.742 8.583 -0.5 0.167 -7.953 3.333 0.5 20 17 3 "BIG12" "P5"
"80" "PITT" 3.75 0.099 -0.139 82.833 -2.917 0.068 1.817 0 85.75 9.917 1.525 17.167 0.167 0.167 5.825 7.417 0.667 17 14.917 2.083 "ACC" "P5"
"81" "PSU" 4.167 0.062 0.249 114.5 37.583 0.103 1.708 -0.417 76.917 5.417 1.925 -2.583 -0.833 -0.417 2.142 17.833 0.833 21 17.75 3.25 "BIG10" "P5"
"82" "PUR" 6 0.059 0.14 60.231 73.385 0.099 -0.454 0 -13.154 -1.077 -0.285 -1.692 0.077 0.077 4.16 3.462 0.615 21 17.615 3.385 "BIG10" "P5"
"83" "RICE" 1.583 -0.012 0.175 -6.917 16.833 -0.032 -0.25 0.917 -23.75 2.25 -1.233 -5 1.25 0.333 5.665 -8.5 0.417 2 4.25 -2.25 "CUSA" "G5"
"84" "RUTG" -4.75 -0.049 -0.083 -67.667 -52.917 -0.085 -1.125 0.417 -14.75 0.083 -0.567 17.917 0.5 0.083 -1.615 -11.833 0.333 21 18.083 2.917 "BIG10" "P5"
"85" "SC" -3.167 -0.009 0.208 -10.833 58.25 0.139 1.833 0.083 -69.083 -7.25 -1.175 7.833 0.417 0.333 -1.697 4.167 0.667 22 16.667 5.333 "SEC" "P5"
"86" "SDSU" -1.667 -0.074 0.556 -13.667 -35.667 -0.059 0.05 -0.083 22 2.75 0.35 15.5 0.083 0.167 1.688 1.167 0.583 4 5.917 -1.917 "MW" "G5"
"87" "SJSU" 1.636 -0.016 -0.242 23.909 53.545 0.005 0.445 -0.818 -29.636 -8.545 -0.145 -25 -1.091 -0.273 -2.484 7.182 0.636 4 5 -1 "MW" "G5"
"88" "SMU" 3 0.13 -0.21 33.833 82.083 0.088 0.992 0.083 -48.25 -4.25 -1 -25 0.167 0.083 -4.367 3.75 0.583 11 10.917 0.083 "AAC" "G5"
"89" "STAN" -1.333 0.023 -0.033 -72.5 44.583 0.035 -0.15 0.167 -117.083 -5.583 -2.65 -18.75 1 0.833 -0.217 -10.833 0.25 19 17.25 1.75 "PAC12" "P5"
"90" "SYR" -0.083 -0.012 -0.021 27.75 35 -0.02 2.283 -0.167 -7.25 -5.083 0.367 5.75 -0.583 -0.417 -3.69 5.667 0.583 17 14.833 2.167 "ACC" "P5"
"91" "TA&M" -1.333 -0.004 -0.196 -4.333 63.25 0.013 1.267 0.167 -67.583 -12.833 -0.25 -11.833 0.167 0 -4.268 1.583 0.417 22 16.75 5.25 "SEC" "P5"
"92" "TCU" 2.077 0.06 -0.077 87.923 37.385 0.117 1.885 -0.769 50.538 1.769 1.338 2.077 -0.692 0.077 2.515 15.308 0.923 20 17.692 2.308 "BIG12" "P5"
"93" "TEM" -1 -0.05 -0.083 -40.667 69.5 -0.006 0 0.5 -110.167 -15.667 -1.808 -6 0.917 0.417 -5.942 -7.333 0.25 11 10.75 0.25 "AAC" "G5"
"94" "TENN" 3.083 0.057 0.264 139.333 45.333 0.056 3.158 -0.5 94 5.917 2.092 -2.583 -0.75 -0.25 -9.257 23.833 0.833 22 16.25 5.75 "SEC" "P5"
"95" "TEX" 2.333 -0.009 -0.054 68.333 -8.25 -0.003 1.683 -0.167 76.583 0.917 1.592 2.917 -0.083 0.083 -4.868 14.5 0.667 20 17.417 2.583 "BIG12" "P5"
"96" "TLSA" 0.917 0.021 -0.16 -2.417 66.833 0.024 0.667 0.333 -69.25 -6.583 -1.142 -2.083 0.167 -0.167 -2.233 -2.5 0.417 11 9.583 1.417 "AAC" "G5"
"97" "TOL" 4.385 0.045 0.186 73.846 42.308 0.048 2.062 0.231 31.538 1.769 0.677 -14.077 0.615 0.385 -2.375 6.538 0.615 1 2.846 -1.846 "MAC" "G5"
"98" "TROY" 0.154 -0.064 0.017 48.846 44.538 0.043 3.023 0.154 4.308 -0.385 0.254 0.692 -0.077 -0.231 0.406 8.615 0.846 5 5.538 -0.538 "SBC" "G5"
"99" "TTU" 6.583 -0.009 0.209 45 58.917 0.023 -0.725 0.833 -13.917 0.333 -0.467 -7.917 0.667 -0.167 -0.455 4.083 0.583 20 17.333 2.667 "BIG12" "P5"
"100" "TULN" 3.231 0.029 0.05 91.538 48.308 0.081 2.754 -0.462 43.231 0.692 1.015 -9.385 -0.308 0.154 0.849 14.769 0.846 11 9.769 1.231 "AAC" "G5"
"101" "TXST" -0.75 -0.001 -0.25 -37.75 -23.833 -0.039 -1.333 -0.083 -13.917 -1.667 -0.35 -8.5 -0.25 -0.167 0.938 -5.25 0.333 5 5.5 -0.5 "SBC" "G5"
"102" "UAB" 1.417 0.023 0.01 73.667 0.833 0.016 1.617 -0.333 72.833 4.5 1.15 8.333 -0.25 0.083 3.603 7.167 0.5 2 3.833 -1.833 "CUSA" "G5"
"103" "UCF" 4.538 0.113 0.074 97.231 18.462 0.117 1.3 0.154 78.769 10.077 0.754 4.692 0.154 0 2.542 11.231 0.692 11 10.385 0.615 "AAC" "G5"
"104" "UCLA" 3.833 0.108 -0.126 108 -14.167 0.031 0.8 -0.167 122.167 7.333 2.483 5.75 -0.167 0 -4.542 11.25 0.75 19 14.75 4.25 "PAC12" "P5"
"105" "UGA" 9.154 0.259 0.185 199.846 69.846 0.109 2.492 -0.308 130 11.231 2.562 4.615 0 0.308 7.58 26.385 1 22 18.077 3.923 "SEC" "P5"
"106" "UK" 2.667 0.014 -0.003 16.167 42.667 0.043 1.65 0.083 -26.5 1.833 -0.708 -12.917 0.083 0 6.078 3 0.583 22 16.25 5.75 "SEC" "P5"
